review_id,sentence_id,Time,sentence_type,sentence
1550,1,26-12-2008 00:00,s,"""Great customer experience but give some of it to employees too"""
1550,2,26-12-2008 00:00,p,"""Great projects - lots of great projects that are really pioneering smart people - it hires loads of smart people. its a great experience to hang around good package great benefits management really focussed on customers and its a great feeling to be s sincere to customers strong mentoring - there is a strong mentoring focus and each new employee can optionally team with an experienced guy to learn new  …  things Show More"""
1550,3,26-12-2008 00:00,c,"""hectic work have to support applications even in the middle of night - can be really annoying micro management most managers are not very clear about the feedback to the team members ."""
1549,5,12-07-2009 00:00,s,"""Challenging place to work"""
1549,6,12-07-2009 00:00,p,"""- Great Employee focus.. After 5 jobs with some of the biggest in the industry, here's one which walks the talk. they care about you and do all they can to make your work challenging and your resume top-class - Amazing Innovation drive - Flat organization - Won't get bored - One of the best salary packages"""
1549,7,12-07-2009 00:00,c,"""- This is a software company.. the non-software guys belonging to the business will have more challenges in growing - This is a software company.. some of the decisions on products are taken in lieu of the engineering capability rather than the customer need"""
1548,9,25-12-2009 00:00,s,"""Technology makes it a better place"""
1548,10,25-12-2009 00:00,p,"""If you have the passion for technology ,then amazon is a good place to work for"""
1548,11,25-12-2009 00:00,c,"""No Growth within the Company..Lots and Lots of bureaucracy"""
1547,13,03-03-2010 00:00,s,"""Good place to work"""
1547,14,03-03-2010 00:00,p,"""Chance to take up a lot of responsibility Recognition for hard work Decent pay, but no bonuses Great managers"""
1547,15,03-03-2010 00:00,c,"""Even developers need to do support work Too much cost cutting over-crowded office - not enough space not enough recreation activities in office US teams have more say"""
1546,17,31-05-2010 00:00,s,"""amazon review"""
1546,18,31-05-2010 00:00,p,"""money is the only reason"""
1546,19,31-05-2010 00:00,c,"""no work life balance, only work"""
1545,21,02-06-2010 00:00,s,"""SDE1"""
1545,22,02-06-2010 00:00,p,"""good salary compared to peers. one of the best work in the industry. professionally good growth both in the company and out side the company."""
1545,23,02-06-2010 00:00,c,"""not a good office environment. cramped space. worst office location choosen."""
1544,25,26-06-2010 00:00,s,"""Nice place to work for a geek"""
1544,26,26-06-2010 00:00,p,"""1. Some of the best minds in the world work with you. 2. You're given to work on cutting edge technology 3. Amazon.com has a huge internal software base, and many in-house frameworks are developed."""
1544,27,26-06-2010 00:00,c,"""1. You have to support what you deliver, this includes a lot of operational tasks, which is a pain for SDE. 2. As you work on most of the in-house frameworks you dont generally get to use the industry standard frameworks. 3. Employees are just working machine for them, frugality is the main principle and that reflects in every coffee machine in amazon, leave alone goodies or office parties."""
1543,29,25-07-2010 00:00,s,"""Cant sleep at night"""
1543,30,25-07-2010 00:00,p,"""Nice pay. Other then the pay there isnt much of pros. the work isnt bad but its also not good either. domain knowledge is all you need."""
1543,31,25-07-2010 00:00,c,"""Well amazon cares about customers but not employees. For a fresher you can gain knowledge about technology for a little bit more experienced person its not a software development company its a retail company. the software development practices are horrible. The tools used internally are a pain. And also forget about having a life out of work. the people in india expect you to work in day and people in usa expect y …  ou to work at night. there are no flex hours and you are not expected to work from home or something like that will not be appreciated Show More"""
1542,33,21-08-2010 00:00,s,"""good place to work"""
1542,34,21-08-2010 00:00,p,"""smart people, strong leadership and core values, innovative company. the organization is going in the right direction and adding values to customer everyday"""
1542,35,21-08-2010 00:00,c,"""highly engaging, overhead for developers. The average half time for developer is low due to some process overhead, also the company should revise the frugality definition a bit"""
1541,37,08-10-2010 00:00,s,"""Great place to work"""
1541,38,08-10-2010 00:00,p,"""Great culture, great people, standardized technologies and automated tools"""
1541,39,08-10-2010 00:00,c,"""Pager can pain depending on which group you are in."""
1540,41,18-12-2010 00:00,s,"""It has been"""
1540,42,18-12-2010 00:00,p,"""Amazing technology company, loads of opportunities, get a chance to work with senior engineers/principals, freedom about the work we do."""
1539,44,09-02-2011 00:00,s,"""Bulk of the work involved running the existing beast, rather than thinking about new innovative solutions"""
1539,45,09-02-2011 00:00,p,"""1) Great People - Amazon hires the best in the industry 2) Great Technology - With dozens and dozens of 'home grown' systems (both good and not so good) 3) Great Processes"""
1539,46,09-02-2011 00:00,c,"""1) Limited exposure to customers, sitting in India 2) Pressure can sometimes get overwhelming 3) The beeping pager in the middle of the night"""
1538,48,15-03-2011 00:00,s,"""great place to work"""
