review_id,sentence_id,Time,sentence_type,sentence
300,1,2009-05-23 00:00:00,s,"""""Google: change is needed to avoid complacency & loss of competitive edge"""""
300,2,2009-05-23 00:00:00,p,"""2 types of people that will find a great place to work: (1) recent college or B-school graduates looking for a first job where they can learn a lot, and (2) more senior corporate executives with many years of experience who aren't overly ambitious and are looking for a role where they can put life on auto-pilot and glide through their day-to-day activities."""
300,3,2009-05-23 00:00:00,c,"""There is no clear career progression, and management is arrogant."""
299,5,2010-03-18 00:00:00,s,"""""Good place to start work and transit to other jobs. No career growth & no support from senior management towards this."""""
299,6,2010-03-18 00:00:00,p,"""Great place to start work - I moved to Google straight from college, and it is a great place to start work. Helps you get associated with a work environment. Management is quite clear in its communication, and decisions are made keeping in mind the business needs."""
299,7,2010-03-18 00:00:00,c,"""Managers - Anyone who has worked at Google will agree that the managers are below par. I wouldn't admit is is true in all cases. However, the average manager at Google, just doesn't have the leadership skills required. Lack of transparency from mid management - While the top management is quite clear/transparent with it communications/plans, it is totally absent from mid-management. Again, the issue is with ma …  nagers. Most managers are busy driving their personal agenda, and they often neglect others' growth in the company. Promotion criteria is totally biased towards 'favourable employees' being more favoured. Career prospects - Google isn't a place for long term career planning. After a point in time you are stuck, and your role leads you no where, and some of the operational-role based teams aren't sure about the direction of the team. Discussing this with your manager is of no help because the manger simply doesn't have the time for such career enhancement talks. Overall, Google is headed towards being any other big organization with bureaucracy ranging from lunch table to promotions to reviews. Show More"""
298,9,2010-05-26 00:00:00,s,"""""Life vs Work"""""
298,10,2010-05-26 00:00:00,p,"""1. You get to work with smart people 2. You get to work on products that affect lot of people 3. You get a lot of things off the shelf available within google 4. Competetive pay packages & bonuses"""
298,11,2010-05-26 00:00:00,c,"""1. Nothing that you learn at google can be reused 2. Lot of sucking up. You get tired of it. 3. Peers are arrogant"""
297,13,2010-06-27 00:00:00,s,"""""google"""""
297,14,2010-06-27 00:00:00,p,"""The working environment and the opportunities in google is very good.In terms of the career advancement google is the best place."""
297,15,2010-06-27 00:00:00,c,"""the downside is that the work load at the google is very high and you should work hard to achieve the target."""
296,17,2010-11-02 00:00:00,s,"""""Google"""""
296,18,2010-11-02 00:00:00,p,"""Work with some of the smartest people on the planet. Opportunities to work on new problems and cutting edge technologies. Opportunities to innovate."""
296,19,2010-11-02 00:00:00,c,"""Lack of structure and direction can cause stress. The freedom can work to your disadvantage. Constantly need to reinvent yourself."""
295,21,2011-04-19 00:00:00,s,"""""It was an Awesome Experience"""""
295,22,2011-04-19 00:00:00,p,"""innovative and creative work culture. Amazing opportunity to learn from peers. A huge asset on your CV. Well paid better than industry standards"""
295,23,2011-04-19 00:00:00,c,"""You end up working on some internal projects which might be very challenging but do not let you satisfy the startup spark in you"""
294,25,2011-05-12 00:00:00,s,"""""excellent,"""""
294,26,2011-05-12 00:00:00,p,"""Great work environment, great projects to work for, total freedom in work to pursue own goals and time flexibility. A place to learn how to run a company at its best both for employees and the employer"""
294,27,2011-05-12 00:00:00,c,"""Getting increasingly bureaucratic, regional teams are not empowered as much as the headquarters in terms of decision making, therefore roles at regional levels have limited in scope."""
293,29,2011-06-18 00:00:00,s,"""""Nice"""""
293,30,2011-06-18 00:00:00,p,"""- Work is challenging and non trivial - Colleagues are smart - Working at Google is fun - Exposure to real users"""
293,31,2011-06-18 00:00:00,c,"""Salary is lesser than what i want it to be. Even with recent salary hikes, i feel that working in remote offices is not beneficial."""
292,33,2011-07-26 00:00:00,s,"""""Its been amazing workina at Google"""""
292,34,2011-07-26 00:00:00,p,"""The Google Community has been very supportive, they encourage ideas & are very supportive at every stage of the process."""
292,35,2011-07-26 00:00:00,c,"""The process of recruitment goes through various stages and can be very tedious and frustrating at times. They need to make it more clear."""
291,37,2011-08-25 00:00:00,s,"""""na"""""
291,38,2011-08-25 00:00:00,p,"""Good food, great perks, great working culture"""
291,39,2011-08-25 00:00:00,c,"""Middle order managers, not enough scope to move teams"""
290,41,2011-08-31 00:00:00,s,"""""OKish"""""
290,42,2011-08-31 00:00:00,p,"""needless to say - very very smart, innovative people. techies - who love their work! Encouraging people and very competitive environment."""
289,44,2011-09-25 00:00:00,s,"""""The best company you can work for, middle management in the sales department is poor."""""
289,45,2011-09-25 00:00:00,p,"""-Benefits are second to none. -Senior leadership is out of this world (Larry, Sergey...at that level). -The new CEO Larry is very inspirational in his new role. -You come to work every day thinking I am so proud to be here. -An ethical company that truly believes in it's motto, 'do no evil.' -You just don't want to leave the company because you are so much in awe of senior leadership and the direction  …  in which the company is headed. Show More"""
289,46,2011-09-25 00:00:00,c,"""-Middle management in the sales side of things needs a major revamp. Absolutely no regard for career development, work-life balance. Faulty and biased performance appraisal. Extremely non-Googley. The middle management lacks in people development skills and are too busy trying to push themselves up to bother about their reports. No recognition for rewards in the sales teams and as long as you are in the favored circl …  e of the manager, your career is made. -While senior leadership in MV is extremely supportive of feedback, speak out to your local leaderhsip and you ring the death knell of your career at Google. -The sales side is turning into a nightmare with the sales HR in turn unable to turn things around or raise critical employee issues and thus resort to delivering lip service to employees. The senior leadership in MV needs to take a serious look into this. Show More"""
288,48,2011-10-13 00:00:00,s,"""""Best Place to work but middle level sales management is quite poor."""""
288,49,2011-10-13 00:00:00,p,"""Good Package You will have fun while working Very friendly colleagues Lots of opportunities to travel abroad Lots of free goodies like free transport, meals and stock options offered"""
288,50,2011-10-13 00:00:00,c,"""Salary is sometimes not that competitive Promotion takes time as its a huge company now If you are in direct sales and you love interacting with clients on an every day basis then your job role will be quite interesting! In Online sales job responsibilities are not that exciting at times."""
287,52,2011-11-03 00:00:00,s,"""""Awesome, dream company"""""
287,53,2011-11-03 00:00:00,p,"""Nice place to work for. Excellent work culture Free food Ability to switch areas facilities and perks pay package brand name"""
